match_id,id,name,team,position,points_total,Minutes,Try,Assists,Conversion,Penalty,MetresCarried,DefendersBeaten,Tackles,PenaltyConceded,FiftyTwentyTwo,KicksRecovered,DropGoal,Offloads,LineoutSteal,BreakdownSteal,PlayerOfTheMatch,AttackingScrumWin,YellowCard,Minutes_points,Try_points,Assists_points,Conversion_points,Penalty_points,MetresCarried_points,DefendersBeaten_points,Tackles_points,PenaltyConceded_points,FiftyTwentyTwo_points,KicksRecovered_points,DropGoal_points,Offloads_points,LineoutSteal_points,BreakdownSteal_points,PlayerOfTheMatch_points,AttackingScrumWin_points,YellowCard_points,crit_18,computed_points_total,points_delta
1,705,J. Crowley,Ireland,Fly-half,6,30,0,0,0,0,23.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0
1,1335,S. Prendergast,Ireland,Fly-half,32,80,0,0,2,0,23.0,3,13,1,0,2,0,2,0,0,0,0,0,0,0,0,4,0,2,6,13,-1,0,4,0,4,0,0,0,0,0,0,32,0
1,327,C. Casey,Ireland,Scrum-half,1,7,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,283,J. Gibson-Park,Ireland,Scrum-half,12,80,0,0,0,0,4.0,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,6,0,0,0,0,0,0,0,0,12,0
1,286,J. Conan,Ireland,Back-row,5,30,0,0,0,0,7.0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,5,0
1,182,C. Doris,Ireland,Back-row,34,80,0,0,0,0,29.0,3,15,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,2,6,15,0,0,0,0,2,0,5,0,4,0,0,34,0
1,328,C. Prendergast,Ireland,Back-row,15,50,0,0,0,0,3.0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,15,0
1,318,N. Timoney,Ireland,Back-row,33,30,1,0,0,0,38.0,2,4,0,0,0,0,0,0,1,0,2,0,0,15,0,0,0,3,4,4,0,0,0,0,0,0,5,0,2,0,0,33,0
1,68,J. van der Flier,Ireland,Back-row,14,50,0,0,0,0,15.0,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,2,0,0,14,0
1,291,T. Beirne,Ireland,Second-row,39,80,0,1,0,0,12.0,0,15,0,0,0,0,0,0,3,0,4,0,0,0,4,0,0,1,0,15,0,0,0,0,0,0,15,0,4,0,0,39,0
1,434,J. McCarthy,Ireland,Second-row,12,50,0,0,0,0,2.0,1,9,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,9,-1,0,0,0,0,0,0,0,2,0,0,12,0
1,152,J. Ryan,Ireland,Second-row,9,30,0,0,0,0,7.0,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,2,0,0,9,0
1,290,F. Bealham,Ireland,Prop,0,21,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1332,T. Clarkson,Ireland,Prop,8,59,0,0,0,0,2.0,0,5,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,-1,0,0,0,0,0,0,0,4,0,0,8,0
1,1967,J. Loughman,Ireland,Prop,14,59,0,0,0,0,0.0,0,11,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,-1,0,0,0,0,0,0,0,4,0,0,14,0
1,962,M. Milne,Ireland,Prop,18,21,1,0,0,0,4.0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,0
1,183,R. Kelleher,Ireland,Hooker,4,18,0,0,0,0,1.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0
1,324,D. Sheehan,Ireland,Hooker,13,62,0,0,0,0,12.0,2,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,4,0,0,13,0
